R device_connect OK
R device_subscribe gsr OK
E4_Bvp 1502566022.9059 -5.868679
E4_Bvp 1502566022.92153 -2.573978
E4_Bvp 1502566022.93715 1.151829
E4_Bvp 1502566022.95278 3.051659
E4_Bvp 1502566022.9684 1.908971
E4_Bvp 1502566022.98403 -1.655903
E4_Bvp 1502566022.99966 -5.616817
E4_Bvp 1502566023.01528 -7.695644
E4_Bvp 1502566023.03091 -6.66466
E4_Bvp 1502566023.04653 -3.041612
E4_Bvp 1502566023.06216 1.192244
E4_Bvp 1502566023.07778 3.768562
E4_Bvp 1502566023.09341 3.462971
E4_Bvp 1502566023.10904 0.7644202
E4_Bvp 1502566023.12466 -2.43279
E4_Bvp 1502566023.14029 -4.000176
E4_Bvp 1502566023.15591 -2.787602
E4_Bvp 1502566023.17154 0.5930014
E4_Bvp 1502566023.18716 4.186601
E4_Bvp 1502566023.20279 5.828543
E4_Bvp 1502566023.21842 4.425079
E4_Bvp 1502566023.23404 0.7099404
E4_Bvp 1502566023.24967 -3.218352
E4_Bvp 1502566023.26529 -5.051596
E4_Bvp 1502566023.28092 -3.638131
E4_Bvp 1502566023.29654 0.3452896
E4_Bvp 1502566023.31217 4.757024
E4_Bvp 1502566023.3278 7.189916
E4_Bvp 1502566023.34342 6.340516
E4_Bvp 1502566023.35905 2.743758
E4_Bvp 1502566023.37467 -1.553951
E4_Bvp 1502566023.3903 -4.111943
E4_Bvp 1502566023.40592 -3.484303
E4_Bvp 1502566023.42155 0.01849818
E4_Bvp 1502566023.43718 4.51291
E4_Bvp 1502566023.4528 7.66981
E4_Bvp 1502566023.46843 7.971262
E4_Bvp 1502566023.48405 5.555224
E4_Bvp 1502566023.49968 2.077163
E4_Bvp 1502566023.5153 -0.3211432
E4_Bvp 1502566023.53093 -0.198971
E4_Bvp 1502566023.54656 2.310672
E4_Bvp 1502566023.56218 5.668959
E4_Bvp 1502566023.57781 7.794071
E4_Bvp 1502566023.59343 7.399498
E4_Bvp 1502566023.60906 4.747389
E4_Bvp 1502566023.62468 1.480262
E4_Bvp 1502566023.64031 -0.3555589
E4_Bvp 1502566023.65594 0.3785195
E4_Bvp 1502566023.67156 3.234986
E4_Bvp 1502566023.68719 6.353441
E4_Bvp 1502566023.70281 7.577205
E4_Bvp 1502566023.71844 5.726317
E4_Bvp 1502566023.73406 1.397911
E4_Bvp 1502566023.74969 -3.312006
E4_Bvp 1502566023.76532 -5.947554
E4_Bvp 1502566023.78094 -5.064973
E4_Bvp 1502566023.79657 -1.107617
E4_Bvp 1502566023.81219 3.881024
E4_Bvp 1502566023.82782 7.286016
